Bicep Angle,Squat Angle,Label
162.91248579868093,166.2468041144123,incorrect
163.5706915714998,165.38245510500872,incorrect
16.710351948112883,170.17283711307658,incorrect
4.687594037953338,114.57094453463858,correct
12.519665258443649,135.6301300696458,correct
12.622147184517765,85.34634766279349,incorrect
35.31756969007557,168.93545745491727,correct
46.886553787045976,95.2808230739976,correct
44.475962625057576,43.69986212138263,correct
56.41804784655946,63.56828763574067,correct
53.13994551485773,61.08966185527051,correct
9.204951042712624,66.32402770513355,incorrect
20.833246676871624,64.4152794955559,incorrect
37.07970194978869,38.4837658183121,correct
18.531627416009208,45.75164346466878,incorrect
35.58237813950718,42.48115820994668,correct
46.28611964985521,41.8051672649251,correct
46.32898627128171,34.1750502512504,correct
52.07127671842748,37.08337990979599,correct
50.06880006472123,39.60296479888291,correct
51.107581885592474,40.08354063023847,correct
48.94670706113998,35.06178915103973,correct
42.80424347295738,33.99437946168594,correct
38.32552576817579,41.08617070268707,correct
43.77301894986842,33.93621426570106,correct
44.7784265433871,41.63722740674454,correct
40.25085232322172,50.660013275339786,correct
31.54495673070493,63.68855856572427,correct
36.61380775402192,54.60294639706568,correct
37.549370254361,27.017462049297386,correct
28.507637160063105,27.176039703045994,incorrect
0.07317564015246421,37.90377502446398,incorrect
7.339081219653626,106.25644954829517,correct
6.126175781756307,93.01153820649584,correct
3.863234361673393,104.17531739404124,correct
4.350976518568936,84.85485574247977,incorrect
0.8637139532901676,107.95239347383111,correct
5.644530683661601,118.24644869654949,correct
6.6039756477903415,105.06700781591765,correct
26.754699854622036,104.79356624087258,correct
6.755088517782781,104.68293935000206,correct
62.28724277169339,90.26781669070618,correct
13.639833005635486,122.00796571362189,correct
43.317835198243415,168.4403870561684,correct
16.5537712477598,99.47041417243408,correct
2.921071295901487,40.99342118298092,incorrect
3.282894883362484,92.67937562702015,correct
5.369390701545317,92.46663601156102,correct
7.492563118906994,121.13629243288041,correct
93.1526121447168,138.91795520734746,correct
86.00475366687374,115.04711896295463,correct
11.59412066493588,11.360907507591477,incorrect
11.762815284674863,60.54851540271054,incorrect
19.694416052203177,68.98489400422311,incorrect
16.91482818368512,126.53446922467637,correct
178.53252160493017,171.5216522016275,incorrect
176.99455564633163,178.6854353730133,incorrect
175.7512824599729,179.62338330570537,incorrect
174.82104736900487,179.43647001828094,incorrect
172.7215759372015,179.33643371616867,incorrect
173.85010686291892,179.6642389834615,incorrect
173.60006950292498,179.72398668334188,incorrect
173.20521381209576,179.6333260270641,incorrect
173.41516458952003,179.58150595722205,incorrect
173.28989629884882,179.71677989363099,incorrect
173.22475859927985,179.5668554806772,incorrect
173.11394065521446,179.3559244034112,incorrect
173.30098517261695,179.3481554099114,incorrect
173.52813383707027,178.217814397937,incorrect
172.33663642658448,178.1547724265546,incorrect
172.46521618960858,178.76677496398347,incorrect
172.29939397419616,178.27617493271237,incorrect
171.01538830547943,178.4941784656305,incorrect
153.00754616862866,179.07930735919948,correct
76.1890058548098,179.1569629764251,correct
20.316234573962824,179.6779400096774,incorrect
13.866039655084426,179.81133332709385,incorrect
5.51013321556019,179.82940664979955,incorrect
1.173271899388961,179.8361747853454,incorrect
1.4357878564442137,179.87423340008402,incorrect
6.453538261712948,179.7758104750845,incorrect
9.866416736197692,179.72653489283985,incorrect
15.925203426504762,179.7513215471401,incorrect
11.7445798294302,179.9711172532415,incorrect
10.92921422912066,179.91137161316328,incorrect
12.225162780741835,179.75039461263182,incorrect
10.327164894968437,179.77179324562158,incorrect
10.854889324526319,179.77229679091445,incorrect
7.770334900520144,179.64600491479126,incorrect
5.327179461245557,179.65546032639065,incorrect
8.375109430509672,179.85965465221668,incorrect
19.634077945574518,179.62530135754935,incorrect
29.36912330110854,179.50942245496213,incorrect
39.361804233108955,179.23089485291567,correct
143.96945221548447,179.12699749153887,correct
155.05105995665602,179.1078703657443,correct
162.12948492836261,179.2500570355927,incorrect
170.56268586902274,179.44371049777044,incorrect
172.69533032935638,179.58513221964142,incorrect
173.78365381771172,179.71280988065283,incorrect
173.9056949979254,178.88560758213893,incorrect
173.46767663668433,178.342770309614,incorrect
173.4609672984478,178.19940946843235,incorrect
173.1608612324716,177.865022778245,incorrect
173.32126294426664,177.83848000431556,incorrect
173.32402616671504,177.88626565564542,incorrect
173.55555039167842,177.69057752897723,incorrect
173.42947478631143,177.54797301984655,incorrect
173.42096338567598,177.73127404074688,incorrect
173.6097944575329,177.59869169134612,incorrect
173.75019367051337,177.89160155040807,incorrect
173.36406460122316,177.16982117369525,incorrect
173.07343187038123,177.54473183730806,incorrect
170.70526382694504,179.27290817584117,incorrect
168.71195627123976,179.39606800460544,incorrect
158.25969569721772,179.3851533452748,correct
135.77202616330302,179.03761382393742,correct
12.363373851905752,179.33506385106926,incorrect
6.387196620128048,179.25827628584267,incorrect
5.300274853320278,179.46680560250482,incorrect
3.88650134367273,178.94742385476414,incorrect
1.4026268724116995,178.83955928967575,incorrect
0.9609716557712774,178.80372133070892,incorrect
0.014232336348405723,178.85704323165956,incorrect
0.20031533855839836,178.8908742246442,incorrect
0.8008843952797301,178.99202230067328,incorrect
0.04515682122741107,179.24270594461314,incorrect
0.6632146645616863,179.94005517480954,incorrect
2.6110258768946206,178.84402687806508,incorrect
